tweet_id,favorites,retweets,user_followers,user_favourites,date_time
829861396166877184,12341,1971,8773692,146003,2017-02-10 01:15:49+00:00
829501995190984704,32056,10712,8774398,146004,2017-02-09 01:27:41+00:00
829449946868879360,10555,2045,8774398,146004,2017-02-08 22:00:52+00:00
829141528400556032,24644,7436,8773692,146003,2017-02-08 01:35:19+00:00
829011960981237760,53616,16469,8773692,146003,2017-02-07 17:00:28+00:00
828801551087042563,0,3452,8773692,146003,2017-02-07 03:04:22+00:00
828770345708580865,25827,5933,8774398,146004,2017-02-07 01:00:22+00:00
828708714936930305,36874,11302,8773692,146003,2017-02-06 20:55:28+00:00
828650029636317184,9613,1365,8773692,146003,2017-02-06 17:02:17+00:00
828409743546925057,6412,1178,8774398,146004,2017-02-06 01:07:28+00:00
828408677031882754,7751,1305,8774398,146004,2017-02-06 01:03:14+00:00
828381636999917570,12715,2238,8773692,146003,2017-02-05 23:15:47+00:00
828376505180889089,7453,1083,8774398,146004,2017-02-05 22:55:23+00:00
828372645993398273,12680,2978,8773692,146003,2017-02-05 22:40:03+00:00
828361771580813312,2215,173,8774398,146004,2017-02-05 21:56:51+00:00
828046555563323392,11884,2907,8773692,146003,2017-02-05 01:04:17+00:00
828011680017821696,10464,2170,8773692,146003,2017-02-04 22:45:42+00:00
827933404142436356,20321,5310,8774398,146004,2017-02-04 17:34:40+00:00
827653905312006145,15657,3052,8773692,146003,2017-02-03 23:04:02+00:00
827600520311402496,7522,955,8773692,146003,2017-02-03 19:31:54+00:00
827324948884643840,16034,3098,8773692,146003,2017-02-03 01:16:53+00:00
827199976799354881,10696,2250,8774398,146004,2017-02-02 17:00:17+00:00
826958653328592898,21826,5078,8773692,146003,2017-02-02 01:01:21+00:00
826848821049180160,36786,10303,8774398,146004,2017-02-01 17:44:55+00:00
826615380357632002,0,4035,8774398,146004,2017-02-01 02:17:19+00:00
826598799820865537,5173,257,8773692,146003,2017-02-01 01:11:25+00:00
826598365270007810,10162,2377,8773692,146003,2017-02-01 01:09:42+00:00
826476773533745153,18629,4249,8774398,146004,2017-01-31 17:06:32+00:00
826240494070030336,13456,2643,8773692,146003,2017-01-31 01:27:39+00:00
826204788643753985,4931,936,8774398,146004,2017-01-30 23:05:46+00:00
826115272272650244,15843,3179,8773692,146003,2017-01-30 17:10:04+00:00
825876512159186944,10604,1898,8773692,146003,2017-01-30 01:21:19+00:00
825829644528148480,12883,2522,8773692,146003,2017-01-29 22:15:05+00:00
825535076884762624,57472,17760,8773692,146003,2017-01-29 02:44:34+00:00
825147591692263424,18536,4600,8774398,146004,2017-01-28 01:04:51+00:00
825120256414846976,0,1281,8773692,146003,2017-01-27 23:16:13+00:00
825026590719483904,6388,1281,8773692,146003,2017-01-27 17:04:02+00:00
824796380199809024,0,5573,8773692,146003,2017-01-27 01:49:15+00:00
824775126675836928,15135,3572,8774398,146004,2017-01-27 00:24:48+00:00
824663926340194305,10223,1768,8773692,146003,2017-01-26 17:02:56+00:00
824325613288833024,11976,10665,8774398,146004,2017-01-25 18:38:36+00:00
824297048279236611,15265,3928,8774398,146004,2017-01-25 16:45:05+00:00
824025158776213504,4884,605,8774398,146004,2017-01-24 22:44:42+00:00
823939628516474880,10757,2750,8774398,146004,2017-01-24 17:04:50+00:00
823719002937630720,0,11370,8774398,146004,2017-01-24 02:28:08+00:00
823699002998870016,14174,2556,8774398,146004,2017-01-24 01:08:40+00:00
823581115634085888,13209,2665,8773692,146003,2017-01-23 17:20:14+00:00
823333489516937216,708,25,8773692,146003,2017-01-23 00:56:15+00:00
823322678127919110,15943,4092,8774398,146004,2017-01-23 00:13:17+00:00
823269594223824897,0,10048,8774398,146004,2017-01-22 20:42:21+00:00
822975315408461824,17538,3507,8774398,146004,2017-01-22 01:12:59+00:00
